,notebook,sample,sampling,n_epochs,n_paired_image_patches,img_dimensions,patch_size,training_time
0,munet2d,Deepbacs_Semantic_Segmentation,ds4,1000,55,"(256, 256)","(128, 128)",00:04:15
1,munet2d,Deepbacs_Semantic_Segmentation,ds2,1000,50,"(512, 512)","(256, 256)",00:08:15
2,munet2d,Deepbacs_Semantic_Segmentation,og,1000,147,"(1024, 1024)","(256, 256)",00:21:25
3,munet2d,Deepbacs_Semantic_Segmentation,ups2,1000,140,"(2048, 2048)","(512, 512)",01:07:48
4,munet2d,Deepbacs_Semantic_Segmentation,ups4,1000,488,"(4096, 4096)","(512, 512)",03:48:35
5,2dstardist,Saureus_instance_segmentation,ds16,1000,4,"(151, 151)","(128, 128)",00:04:39
6,2dstardist,Saureus_instance_segmentation,ds8,1000,4,"(303, 303)","(272, 272)",00:05:20
7,2dstardist,Saureus_instance_segmentation,ds4,1000,4,"(607, 607)","(576, 576)",00:09:12
8,2dstardist,Saureus_instance_segmentation,ds2,1000,4,"(1215, 1215)","(1184, 1184)",00:24:26
9,2dstardist,Saureus_instance_segmentation,og,1000,4,"(2430, 2430)","(2048, 2048)",01:01:17
10,2dstardist,Saureus_instance_segmentation,ups2,1000,4,"(4860, 4860)","(2048, 2048)",04:45:48
11,2dstardist,Saureus_instance_segmentation,ups4,1000,4,"(9720, 9720)","(2048, 2048)",21:49:13
12,2dstardist,Saureus_instance_segmentation,ups8,1000,5,"(19440, 19440)","(2048, 2048)",97:55:43
13,2dstardist,Saureus_instance_segmentation_pc190723,ds16,1000,10,"(151, 151)","(128, 128)",00:07:03
14,2dstardist,Saureus_instance_segmentation_pc190723,ds8,1000,10,"(303, 303)","(272, 272)",00:08:06
15,2dstardist,Saureus_instance_segmentation_pc190723,ds4,1000,10,"(607, 607)","(576, 576)",00:13:05
16,2dstardist,Saureus_instance_segmentation_pc190723,ds2,1000,10,"(1215, 1215)","(1184, 1184)",00:42:47
17,2dstardist,Saureus_instance_segmentation_pc190723,og,1000,10,"(2430, 2430)","(2048, 2048)",02:02:23
18,2dstardist,Saureus_instance_segmentation_pc190723,ups2,1000,10,"(4860, 4860)","(2048, 2048)",10:22:03
19,2dstardist,Saureus_instance_segmentation_pc190723,ups4,250,10,"(9720, 9720)","(2048, 2048)",12:33:50
20,2dstardist,Saureus_instance_segmentation_pc190723,ups4,250,10,"(9720, 9720)","(2048, 2048)",12:22:48
21,2dstardist,Saureus_instance_segmentation_pc190723,ups4,250,10,"(9720, 9720)","(2048, 2048)",12:35:28
22,2dstardist, Saureus_instance_segmentation_pc190723,ups4,250,10,"(9720, 9720)","(2048, 2048)",12:34:22
23,munet2d,Worm_Semantic_Segmentation,ds16,1000,138,"(125, 128)","(32, 32)",00:04:22
24,munet2d,Worm_Semantic_Segmentation,ds8,1000,137,"(250, 256)","(64, 64)",00:05:56
25,munet2d,Worm_Semantic_Segmentation,ds4,1000,137,"(501, 512)","(128, 128)",00:08:55
26,munet2d,Worm_Semantic_Segmentation,ds2,1000,137,"(1002, 1024)","(256, 256)",00:21:01
27,munet2d,Worm_Semantic_Segmentation,og,1000,456,"(2005, 2048)","(256, 256)",01:06:52
